Semester;Modul;Durchführung
**1**;AC I;Wöchentlich
;Physik;Wöchentlich ODER als Block zum Ferienbeginn (2 Wochen)
;;
**2**;PC II;Einzelversuche nach Vereinbarung
;OC I;Block im Juli: 3 Wochen, 4 Nachmittage pro Woche
;;
**3**;PC III;Einzelversuche nach Vereinbarung
;OC II;Block Nov.-Jan.: 6 Wochen, 4 Nachmittage pro Woche
;;
**4**;MC;Wöchentlich
;AC III;2x Block: je 4 Wochen, 2,5 Volle Tage pro Woche (Anm. Ende 3. Sem.!)
;AC III;Mitarbeiterpraktikum: 2 Wochen n. Vereinbarung (Ende 4. Sem. Eintragen!)
;;
**5**;PC IV;Einzelversuche nach Vereinbarung
;KolloidC;Einzelversuche nach Vereinbarung (nur für Polymer– und Kolloidchemiker)
;Wahl;Praktikum im 5. oder 6. Semester
;AC IV;Block Ferienbeginn: 3 Wochen, Vollzeit
;OC IV;Block im Anschluss: 3 Wochen, Vollzeit (nur für Chemiker)
;;
**6**;PT;Wöchentlich (nur für Polymer– und Kolloidchemiker)
;Wahl;Praktikum im 5. oder 6. Semester
