"Frage","Antwort"
"Erzeugung erbgleicher Nachkommen","KLONEN"
"Spitzname für Studierende der Geoökologie","GECKO"
"Mündliche Prüfung","KOLLOQUIUM"
"Tiere mit 6 Beinen","HEXAPODA"
"Glückshormon","SEROTONIN"
"Schnecken und Muscheln sind ...","MOLLUSKEN"
"Grenzgebirge zwischen Europa und Asien","URAL"
"C2H5OH","ETHANOL"
"Spinnen sind ...","ARACHNIDA"
"DNS","DESOXYRIBONUKLEINSÄURE"
"Grüner Pflanzenfarbstoff","CHLOROPHYLL"
"Wichtiger Stoffwechselprozess bei Pflanzen","PHOTOSYNTHESE"
"Perle Ostafrikas (ehem.)","MOGADISCHU"
"CaSO4 (Trivialname)","GIPS"
"Symbol für Rhenium","RE"
"Mutagene Strahlung","ULTRAVIOLETT"
"Periodensystem der Elemente (Kürzel)","PSE"
"Gefäß zur Durchführung chemischer Experimente","REAGENZGLAS"
"Atommodell von ...","BOHR"
"Geladenes Teilchen","ION"
"""ID" eines jeden Studierenden","MATRIKELNUMMER"
"Wirkstoff in Marihuana","TETRAHYDROCANNABINOL"
"Längster Fluss Südamerikas","AMAZONAS"
"Exoparasit des Menschen","ZECKE"
"Calciumcarbonat (Trivialname)","KALK"
"Du bist eingeschrieben in der Fakultät Nr. ...","ZWEI"
"Wahrscheinlicher Aufenthaltsraum für Elektron","ORBITAL"
"Kolben im Labor","ERLENMEYER"
"Beste Fete am Campus","NIKOFETE"
"...‘sche Vererbungstheorie","MENDEL"
"Flugunfähiger Laufvogel","KIWI"
"Sb steht für ...","ANTIMON"
"Sedimentgestein aus Quarz","SANDSTEIN"
"""Heiße" Reaktion ist ...therm","EXOTHERM"
"Kurz für Erstsemester","ERSTIE"
"Flagge der Tschechischen Rep.: Blau, Rot und ...","WEISS"
"Wichtigstes Heißgetränk in der Klausurenphase","KAFFEE"
"Schaffung von Oberflächenformen durch Abtragung","EROSION"
"Vulkan, der 79 n. Chr. Pompeji zerstörte","VESUV"
