Datum;Uhrzeit;Veranstaltungen;Ort
06.-10.10.2025;;Mathe Vorkurs;[PDF für weitere Infos](https://elearning.uni-bayreuth.de/enrol/index.php?id=45664)
Mittwoch / 08.10.2025;16.00 Uhr;"Wie geht studieren?"; [Zoom]
Donnerstag / 09.10.2025;16.00-17.30 Uhr;cmlife-Einführung;[Microsoft Teams](https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3Ameeting_OTg5NjRiYjUtNTVjYS00YzQxLTkzNGEtYzM5Yzc4MjQ3N2E2%40thread.v2%2F0%3Fcontext%3D%257b%2522Tid%2522%253a%252254d63e24-ac6d-4c5e-a8d6-ba978a0b286e%2522%252c%2522Oid%2522%253a%2522d0a0a0c7-d4e1-4183-a6d9-25da01b76d00%2522%257d%26anon%3Dtrue&type=meetup-join&deeplinkId=729dfbf6-a209-4eda-86b1-8e1bf5775204&directDl=true&msLaunch=true&enableMobilePage=true&suppressPrompt=true)
Donnerstag / 09.10.2025;ab 19 Uhr;Erste Kneipentour;Treffpunkt am Brunnen vorm neuen Schloss, Mit Anmeldung per Email
Samstag / 11.10.2025;13-18/19 Uhr;Stadtrallye; Treffpunkt: Rondell, Mit Anmeldung per Email
Montag / 13.10.2025;17 Uhr;Willkommen im Dschungel! Tipps & Tricks rund um den Studieneinstieg;H14 im NW1
Mittwoch / 15.10.2025;19 Uhr;Erste Fachschaftsitzung; H13 in NW1
Donnerstag / 16.10.2025;ab 19 Uhr;Kneipentour Geo Ressort;Treffpunkt am Brunnen vorm neuen Schloss 
Freitag / 17.10.2025;ab 19 Uhr;Zweite Kneipentour;Treffpunkt am Brunnen vorm neuen Schloss, Mit Anmeldung
Dienstag / 21.10.2025;ab 18:30 Uhr;Spieleabend mit allen Fakultäten;NW3 
Donnerstag / 23.10.2025;19 Uhr;Pub Quiz;H13 (NW1)
Mittwoch / 29.10.2025;Abends;Schlacht der Fakultäten;Überall auf dem Campus
Freitag-Sonntag / 07.-09.11.2025;07. ab abends und am 09. bis nachmittags;Wallenfels Wochenende;Wallenfels 
